name,slug,characteristics,difficulty,effect,ingredients,inventors,manufacturers,side_effects,time,wiki,image
Frog Parts Mixture,frog-parts-mixture,,,,"Known ingredients, Frog, parts, [1]",,,,,https://harrypotter.fandom.com/wiki/Frog_Parts_Mixture,https://static.wikia.nocookie.net/harrypotter/images/d/dd/Frog_Parts_Mixture.jpg
Fungiface Potion,fungiface-potion,"Characteristics, Red in colour, [1]",,"Effect, Causes the drinker's face to break out in fungi, [1]","Known ingredients, Fungi (presumably), [1]",,,,,https://harrypotter.fandom.com/wiki/Fungiface_Potion,https://static.wikia.nocookie.net/harrypotter/images/c/ca/Fungiface_Potion.JPG
Garrotting Gas,garrotting-gas,"Characteristics, Colourless, [1]","Difficulty level, Advanced, [2]","Effect, Causes choking, possibly suffocation, [1]",,,,,,https://harrypotter.fandom.com/wiki/Garrotting_Gas,https://static.wikia.nocookie.net/harrypotter/images/3/32/Garrotting_Gas_HM.png
Germinating Potion,germinating-potion,"Characteristics, Green in colour, [1]",,"Effect, Germinated plants, [1]",,,,,,https://harrypotter.fandom.com/wiki/Germinating_Potion,https://static.wikia.nocookie.net/harrypotter/images/f/fe/Germinating_Potion_MA.png
Girding Potion,girding-potion,"Characteristics, Green, [2], or red, [1], in colour, Foul odour, [2]","Difficulty level, Moderate, [1], [2]","Effect, Prolonged endurance, [1]","Known ingredients, Dragonfly thoraxes, [1], Flying Seahorses, [1], Doxy eggs, [1], Fairy wings, [2]",,,,,https://harrypotter.fandom.com/wiki/Girding_Potion,https://static.wikia.nocookie.net/harrypotter/images/0/02/Girding_Potion_HBPG.png
Grand Pepperup Potion,grand-pepperup-potion,"Characteristics, Red in colour, [1]",,"Effect, Relieved and/or cured cold symptoms, [1]","Known ingredients, Octopus Powder, [1], Bicorn horn, [1], Mandrake Root, [1]","Inventor(s), Glover Hipworth, (possibly)",,"Side-effects, Caused steam to come out of the drinker's ears for a few hours, [1]",,https://harrypotter.fandom.com/wiki/Grand_Pepperup_Potion,https://static.wikia.nocookie.net/harrypotter/images/a/a0/Grand_Pepperup_Potion.jpg
Grand Wiggenweld Potion,grand-wiggenweld-potion,"Characteristics, Green in colour, [1]","Difficulty level, Beginner, [1]","Effect, Heals, injuries, restores stamina, [1]","Known ingredients, Octopus Powder, [1], Unicorn horn, [1], Wolfsbane, [1]",,,,,https://harrypotter.fandom.com/wiki/Grand_Wiggenweld_Potion,https://static.wikia.nocookie.net/harrypotter/images/2/26/Grand_Wiggenweld_Potion.jpg
Gregory's Unctuous Unction,gregory's-unctuous-unction,"Characteristics, Green smoke, [1]",,"Effect, Made the drinker think the one who gave them the potion was their best friend, [1]",,"Inventor(s), Gregory the Smarmy, [1]",,,,https://harrypotter.fandom.com/wiki/Gregory's_Unctuous_Unction,https://static.wikia.nocookie.net/harrypotter/images/0/0a/Gregory%27s_Unctuous_Unction.jpg
Hair-Dyeing Potion,hair-dyeing-potion,"Characteristics, It takes the colour(s) of the used shell(s)., [1], [2]","Difficulty level, Beginner, [1]","Effect, Changed the colour of the drinker's hair, [1]","Known ingredients, Standard potioning water, [1], Dried nettles, [1], Powdered fireball spikes, [2], Streeler shells, [1]",,,,,https://harrypotter.fandom.com/wiki/Hair-Dyeing_Potion,https://static.wikia.nocookie.net/harrypotter/images/b/b3/Hair-Dyeing_Potion_MA.png
Hair-Raising Potion,hair-raising-potion,"Characteristics, Green in colour, [2], [3], [4]","Difficulty level, Beginner, [1], [5], to, Ordinary Wizarding Level, [2]","Effect, Raises, hair, up on end, [1], [2], [3]","Known ingredients, Rat tails, [1], [4], Porcupine quills, [2], [4], Billywig stings, [2], Oil, [4]",,,,,https://harrypotter.fandom.com/wiki/Hair-Raising_Potion,https://static.wikia.nocookie.net/harrypotter/images/b/bb/Hair_Raising_Potion_HM_Icon.png
Hate Potion,hate-potion,,,"Effect, Revealed the worst traits of a person to the drinker, [1]",,,,,,https://harrypotter.fandom.com/wiki/Hate_Potion,
Healing Potion,healing-potion,"Characteristics, Blood red in colour, [1], [2]","Difficulty level, Beginner, [1]","Effect, Healing, , replenishes lost health and stamina to the drinker, [1]","Known ingredients, Wormwood, [1], [2], Bubotuber pus, [1], Dittany, [1], [2], Dragon liver, [1], Unicorn tail hair, [2], Standard potioning water, [2]",,,,"Brewing time, Two hours, [1]",https://harrypotter.fandom.com/wiki/Healing_Potion,https://static.wikia.nocookie.net/harrypotter/images/e/ec/Healing_Potion_WU.png
Heartbreak Teardrops,heartbreak-teardrops,"Characteristics, Red in colour, [1]",,"Effect, Causes the drinker to become infatuated with the giver of the potion, [1]","Known ingredients, Pearl Dust, [2]","Inventor(s), Fred and George Weasley, [1]",,,,https://harrypotter.fandom.com/wiki/Heartbreak_Teardrops,https://static.wikia.nocookie.net/harrypotter/images/f/ff/HeartbreakTeardrops.jpg
Herbicide Potion,herbicide-potion,"Characteristics, Green in colour, [1], [2], Disgusting taste, [3]","Difficulty level, Beginner, [3], [2], to advanced, [1], [4]","Effect, Killed or damaged plants, [1], [2]","Known ingredients, Flobberworm Mucus, [1], Horklump juice, [1], [2], Lionfish spines, [1], [2], Standard Ingredient, [1]",,,,,https://harrypotter.fandom.com/wiki/Herbicide_Potion,https://static.wikia.nocookie.net/harrypotter/images/d/d0/Herbicide.png
Hiccoughing Solution,hiccoughing-solution,"Characteristics, Yellow in colour, [2]",,"Effect, Presumably causes hiccoughs, [1]",,,,,,https://harrypotter.fandom.com/wiki/Hiccoughing_Solution,https://static.wikia.nocookie.net/harrypotter/images/9/92/HiccoughingSolution.png
Invigoration Draught,invigoration-draught,"Characteristics, Orange, [2], or blue, [3], in colour","Difficulty level, Ordinary Wizarding Level, [1]","Effect, Energised the drinker, [1]","Known ingredients, Alihotsy, leaves, [3], Dried, billywig stings, [3], Peppermint, [3], Stewed Mandrake, [3], Infusion of Wormwood, [3], Honeywater, [2], Vervain infusion, [2], Scurvy grass, [2], Lovage, [2], [4], Standard potioning water, [4]",,,,"Brewing time, Three hours, [2]",https://harrypotter.fandom.com/wiki/Invigoration_Draught,https://static.wikia.nocookie.net/harrypotter/images/9/98/Invigoration-draught.png
Invisibility Potion,invisibility-potion,"Characteristics, Silver, [1], or light pink, [2], in colour, Very bubbly, [1]","Difficulty level, Moderate, [1]","Effect, Temporary, invisibility, [1]","Known ingredients, Cherries, [1], Chicken, [1], Spiders, [1], 1, Leaping Toadstool cap, [3], 1, knotgrass sprig, [3], 1, troll bogey, [3], Acromantula venom, [2], Tincture of Demiguise, [2], Pearl Dust, [2], Standard potioning water, [2]",,,,,https://harrypotter.fandom.com/wiki/Invisibility_Potion,https://static.wikia.nocookie.net/harrypotter/images/a/a5/Invisibility_Potion_HL.png
Jawbind potion,jawbind-potion,"Characteristics, Blue in colour and misty, [1]",,"Effect, Caused lockjaw, [1]",,,,,,https://harrypotter.fandom.com/wiki/Jawbind_Potion,https://static.wikia.nocookie.net/harrypotter/images/3/3e/Jawbind_Potion.png
Kissing Concoction,kissing-concoction,"Characteristics, Clear in colour, [1], [2]",,"Effect, Causes the drinker to become infatuated with the giver of the potion, [1], [2]","Known ingredients, Pearl Dust, [3]","Inventor(s), Fred and George Weasley, [1], [2]",,,,https://harrypotter.fandom.com/wiki/Kissing_Concoction,https://static.wikia.nocookie.net/harrypotter/images/e/e0/KissingConcoction.jpg
Laugh-inducing Potion,laugh-inducing-potion,"Characteristics, Red-coloured when finished, [1]",,"Effect, Provoked uncontrollable laughter, [1]",,,,,,https://harrypotter.fandom.com/wiki/Laugh-inducing_Potion,https://static.wikia.nocookie.net/harrypotter/images/d/da/Laugh-inducing_Potion.jpg
Laxative Potion,laxative-potion,,,"Effect, Laxative, [1]","Known ingredients, Two scrumples of an unknown ingredient, [1], An ingredient used in a furnace, [1], Agrimonia, [1]",,,,,https://harrypotter.fandom.com/wiki/Laxative_Potion,
Love potion,love-potion,"Characteristics, Pink in colour, [4], [5]","Difficulty level, Advanced, [1]","Effect, Infatuation with whoever offered the potion, [1], [2]","Known ingredients, Ashwinder eggs, [6], Rose thorns, [7], Peppermint, [7], Powdered Moonstone, [7], Pearl Dust, [8], Rose Petals, [9]","Inventor(s), Laverne de Montmorency, [5], Fred Weasley, [10], George Weasley, [10]",,"Side-effects, Embarrassment on the part of the drinker, [3]",,https://harrypotter.fandom.com/wiki/Love_Potion,https://static.wikia.nocookie.net/harrypotter/images/3/39/Bottle-of-love-potion-lrg.png
Love Potion Antidote,love-potion-antidote,"Characteristics, Clear, colourless, [1]",,"Effect, Served as an, antidote, for, love potions, [1]","Known ingredients, Liquorice, roots, [2], Castor oil, [2], Extract of Gurdyroot, [2]",,,,,https://harrypotter.fandom.com/wiki/Love_Potion_Antidote,https://static.wikia.nocookie.net/harrypotter/images/9/9a/Love_Potion_Antidote.jpg
Madame Glossy's Silver Polish,madame-glossy's-silver-polish,,,"Effect, Polished silver objects",,,"Manufacturer, Madame Glossy's Finest Cleaning Products Ltd.",,,https://harrypotter.fandom.com/wiki/Madame_Glossy's_Silver_Polish,https://static.wikia.nocookie.net/harrypotter/images/d/df/Madame_Glossy%27s_Silver_Polish.jpg
Malevolent Mixture,malevolent-mixture,"Characteristics, Purple in colour, [1]",,"Effect, Poison, or other foul effects (most likely), [1]",,,,,,https://harrypotter.fandom.com/wiki/Malevolent_Mixture,https://static.wikia.nocookie.net/harrypotter/images/b/bd/Malevolent_Mixture.jpg
Mandrake Restorative Draught,mandrake-restorative-draught,"Characteristics, Green in colour, [3]","Difficulty level, Advanced, [3]","Effect, Returned, transfigured, or, cursed, individuals to their original state, [1], [2], [3]","Known ingredients, Stewed Mandrake, [2], [3]",,,,,https://harrypotter.fandom.com/wiki/Mandrake_Restorative_Draught,https://static.wikia.nocookie.net/harrypotter/images/8/88/Mandrake_Restorative_Draught_HM_icon.png
Manegro Potion,manegro-potion,,,"Effect, Rapid, hair, growth, [1]",,,,,,https://harrypotter.fandom.com/wiki/Manegro_Potion,https://static.wikia.nocookie.net/harrypotter/images/e/e0/Manegro_Potion.JPG
Maxima Potion,maxima-potion,"Characteristics, Red in colour, [1]",,"Effect, Temporarily increased the, spell, power of the drinker, [1]","Known ingredients, Leech juice, [1], 1, spider fang, [1]",,,,,https://harrypotter.fandom.com/wiki/Maxima_Potion,https://static.wikia.nocookie.net/harrypotter/images/9/90/Maxima_Potion.png
Maximum Turbo Farts Potion,maximum-turbo-farts-potion,,,"Effect, Excessive flatulence, [1]",,,,,,https://harrypotter.fandom.com/wiki/Maximum_Turbo_Farts_Potion,https://static.wikia.nocookie.net/harrypotter/images/3/30/MaximumTurboFartsPotion.jpg
Memory Potion,memory-potion,"Characteristics, Golden in colour, [1], [2], [3]","Difficulty level, Advanced, [2]","Effect, Enhanced the drinker's, memory, [1], [2]","Known ingredients, Jobberknoll feathers, [1], [4], Stewed Mandrake, [1], Powdered, Sage, [1], Galanthus Nivalis, [1], Alihotsy, [4], Peppermint, [4], Eel eyes, [4]",,,,"Brewing time, Two minutes and fifteen seconds, [3]",https://harrypotter.fandom.com/wiki/Memory_Potion,https://static.wikia.nocookie.net/harrypotter/images/0/07/Memory_Potion_HM_Icon.png
Moonseed Poison,moonseed-poison,"Characteristics, Silver in colour, [1]",,"Effect, Poisonous, [1]","Known ingredients, Moonseed, [1]",,,,,https://harrypotter.fandom.com/wiki/Moonseed_Poison,https://static.wikia.nocookie.net/harrypotter/images/6/6b/Moonseed_Poison.JPG
Mopsus Potion,mopsus-potion,,,"Effect, Gives, seer, -like powers (possibly), [1], Gives telekinetic powers (possibly), [1]",,,,,,https://harrypotter.fandom.com/wiki/Mopsus_Potion,https://static.wikia.nocookie.net/harrypotter/images/4/4a/MopsusPotion.png
Mouth Itching Antidote,mouth-itching-antidote,"Characteristics, Pale green in colour, [1]",,"Effect, Cured mouth itching, [1]",,,,,,https://harrypotter.fandom.com/wiki/Mouth_Itching_Antidote,https://static.wikia.nocookie.net/harrypotter/images/f/fa/Mouth_Itching_Antidote.jpg
Mrs Skower's All-Purpose Magical Mess Remover,mrs-scower's-all-purpose-magical-mess-remover,"Characteristics, Strong acrid odour, [2]",,"Effect, Cleans stains, [1]",,"Inventor(s), Mrs Skower, (presumably), (after, 1492, ), [3]",,,,https://harrypotter.fandom.com/wiki/Mrs_Scower's_All-Purpose_Magical_Mess_Remover,https://static.wikia.nocookie.net/harrypotter/images/5/53/Mrs_Scower%27s_All_Purpose_Magical_Mess_Remover.jpg
Muffling Draught,muffling-draught,"Characteristics, Produced blue-coloured fumes, [1]",,"Effect, Prevented inhaler from speaking, [1]",,,,,,https://harrypotter.fandom.com/wiki/Muffling_Draught,https://static.wikia.nocookie.net/harrypotter/images/e/ed/Muffling_Draught.JPG
Murtlap Essence,murtlap-essence,"Characteristics, Blue in colour, [2]",,"Effect, Soothes and, heals, cuts and abrasions, [1]","Known ingredients, Murtlap tentacles, [1]",,,,,https://harrypotter.fandom.com/wiki/Murtlap_Essence,https://static.wikia.nocookie.net/harrypotter/images/b/b6/Murtlap_Essence.jpg
Narglecide,narglecide,,,"Effect, Killed, Nargles, [1]",,,,,,https://harrypotter.fandom.com/wiki/Narglecide,
Noxious Poison,noxious-poison,"Characteristics, Green-coloured smoke, [1]",,"Effect, Poisonous, [1]",,,,,,https://harrypotter.fandom.com/wiki/Noxious_Poison,https://static.wikia.nocookie.net/harrypotter/images/9/99/Noxious_Poison_TCG.jpg
Oculus Potion,oculus-potion,"Characteristics, Orange in colour, [1]","Difficulty level, Moderate, [1]","Effect, Restored sight, [1], Counteracted, the, Conjunctivitis Curse, [1]","Known ingredients, Infusion of Wormwood, [1], [2], Stewed Mandrake, [1], [2], Ground, unicorn horn, [2], Unidentified blue powder, [1]",,,,,https://harrypotter.fandom.com/wiki/Oculus_Potion,https://static.wikia.nocookie.net/harrypotter/images/8/8a/Oculus_Potion_HBPG.png
Pepperup Elixir,pepperup-elixir,,,,"Known ingredients, 46%, Alcohol, [1]",,,"Side-effects, Possible negative side-effects from more than 7\21 drops per potion, [1]",,https://harrypotter.fandom.com/wiki/Pepperup_Elixir,https://static.wikia.nocookie.net/harrypotter/images/2/21/PepperupElixir.jpg
Pepperup Potion,pepperup-potion,"Characteristics, Red in colour, [3], [4]","Difficulty level, Moderate, [4]","Effect, Cured, common cold, [1], [2], Warmed up recipient, [2], [3]","Known ingredients, Bicorn horn, [5], Mandrake, root, [5], Jewelweed, [4]","Inventor(s), Glover Hipworth, [6]",,"Side-effects, Steam emitted from drinker's ears, [2], [3]",,https://harrypotter.fandom.com/wiki/Pepperup_Potion,https://static.wikia.nocookie.net/harrypotter/images/2/26/PepperupPotionHM.png
Polyjuice Potion,polyjuice-potion,"Characteristics, Before addition of final ingredient:, Thick and mud-like, [2], Bubbles slowly, [2], After addition of final ingredient:, Taste and colour varied depending on the person being turned into, [2]","Difficulty level, Advanced, [4]","Effect, Allowed a, human, drinker to temporarily assume the form of another person, [1], [2], [3]","Known ingredients, Lacewing flies, (stewed for 21 days), [4], [5], Leeches, [4], Powdered, bicorn, horn, [4], Knotgrass, [4], Fluxweed, (picked at full, moon, ), [4], Shredded, boomslang, skin, [4], [5], A bit of the person one wanted to turn into, [4], (typically, hair, [2], or, toenails, ), [3], Standard potioning water, [5]",,,"Side-effects, Attempts to transform into animals or part-humans would not reverse automatically, [2]","Brewing time, One month, [4]",https://harrypotter.fandom.com/wiki/Polyjuice_Potion,https://static.wikia.nocookie.net/harrypotter/images/1/1b/B2C12M2_Polyjuice_Potion_ready.jpg
Pomfrey's Pick-Me-Up,pomfrey's-pick-me-up,"Characteristics, Emerald-green colour, [1]",,"Effect, A restorative, tonic or bracer, [1]",,"Inventor(s), Poppy Pomfrey, (most likely), [1]",,,,https://harrypotter.fandom.com/wiki/Pomfrey's_Pick-Me-Up,https://static.wikia.nocookie.net/harrypotter/images/6/65/Pomfrey%27s_Pick-Me-Up.jpg
Pompion Potion,pompion-potion,"Characteristics, Orange-coloured, [1]","Difficulty level, Beginner, [1]","Effect, Turns, the drinker's head into a, pumpkin, [1]","Known ingredients, Flitterby, Moth, [1], Bouncing Bulb, [1], Foxglove, [1]",,,,,https://harrypotter.fandom.com/wiki/Pompion_Potion,https://static.wikia.nocookie.net/harrypotter/images/0/0f/Pumpkin-head_potion.jpg
Potion № 07,potion-n.-07,"Characteristics, Experimental mixture (possibly)",,"Effect, Poisonous","Known ingredients, Powdered, Lionfish, Essence of, Venomous Tentacula",,,,,https://harrypotter.fandom.com/wiki/Potion_N._07,https://static.wikia.nocookie.net/harrypotter/images/0/07/Potion_N._07.png
Potion N. 220 ,potion-n.-220,,,,,,,,,https://harrypotter.fandom.com/wiki/Potion_N._220,
Potion № 113,potion-no.-113,"Characteristics, Experimental mixture (possibly), [1], Brown in colour, [1]",,"Effect, Extremely, Poisonous, [1]","Known ingredients, Jobberknoll, feathers, [1], Syrup of Arnica, [1]",,,,,https://harrypotter.fandom.com/wiki/Potion_No._113,https://static.wikia.nocookie.net/harrypotter/images/7/78/Potion_No._113.jpg
Potion No. 329,potion-no.-329,,,,,,"Manufacturer, Hogwarts Apothecary Department",,,https://harrypotter.fandom.com/wiki/Potion_No._329,https://static.wikia.nocookie.net/harrypotter/images/f/fc/Potion_No._329.jpg
Potion № 86,potion-no.-86,"Characteristics, Black in colour",,"Effect, Poisonous","Known ingredients, Powdered moonstone, Syrup of Hellebore",,,,,https://harrypotter.fandom.com/wiki/Potion_No._86,https://static.wikia.nocookie.net/harrypotter/images/9/9f/Potion_N.86.jpg
Potion for Dreamless Sleep,potion-for-dreamless-sleep,"Characteristics, Purple in colour, [1]","Difficulty level, Advanced, [3]","Effect, Drowsiness,, [1], dreamless sleep, [2]","Known ingredients, Wormwood, [4], Lavender, [4]",,,,,https://harrypotter.fandom.com/wiki/Potion_for_Dreamless_Sleep,https://static.wikia.nocookie.net/harrypotter/images/f/f6/Potion_for_Dreamless_Sleep_PM.png
Potion of All Potential,potion-of-all-potential,,"Difficulty level, Advanced, [1]","Effect, Realises all that is best in us, [1]","Known ingredients, Pritcher's Porritch, [1], Witch's Ganglion, [1], Niffler's Fancy, [1], Thaumatagoria, [1]","Inventor(s), Hogwarts potions champion, (under influence of, Felix Felicis, ), [1]",,,,https://harrypotter.fandom.com/wiki/Potion_of_All_Potential,https://static.wikia.nocookie.net/harrypotter/images/a/a5/PotionOfAllPotential.png
Potion of Invisibility,potion-of-invisibility,"Characteristics, Pink in colour, [1]",,"Effect, Temporary, invisibility, [1]","Known ingredients, Pearl Dust, [1], Acromantula venom, [1], Tincture of Demiguise, [1]",,,,,https://harrypotter.fandom.com/wiki/Potion_of_Invisibility,https://static.wikia.nocookie.net/harrypotter/images/f/fc/Potion_of_Invisibility_MA.png
Quodpot solution,quodpot-solution,,,"Effect, Prevents, Quods, from exploding, [1]",,,,,,https://harrypotter.fandom.com/wiki/Quodpot_solution,
Rano Potion ,rano-potion,,,,,,,,,https://harrypotter.fandom.com/wiki/Rano_Potion,
Rat Spleen Mixture,rat-spleen-mixture,,,,"Known ingredients, Rat spleen, (15 fl.oz), [1], Kneazle hair, (09 fl.oz), [1], Avocado skin, (14 fl.oz), [1], Shrake spikes, (28 fl.oz), [1], Knotgrass, (34 fl.oz), [1], Gurdyroot, (39 fl.oz), [1]",,,,,https://harrypotter.fandom.com/wiki/Rat_Spleen_Mixture,https://static.wikia.nocookie.net/harrypotter/images/e/eb/Rat_Spleen_Mixture.jpg
Rat Tonic,rat-tonic,"Characteristics, Green, [2], or red, [3], in colour","Difficulty level, Advanced, [3]","Effect, Healed, rats, [1]",,,,"Side-effects, Abnormal growth of the rat if too much was drunk by rat, [2]",,https://harrypotter.fandom.com/wiki/Rat_tonic,https://static.wikia.nocookie.net/harrypotter/images/0/0f/Rat-tonic-lrg.png
Regeneration potion,regeneration-potion,"Characteristics, Fiery sparks when begun, [1], Poisonous blue when the bone is added, [1], Burning red when the flesh is added, [1], Blinding white becoming steam when blood is added, [1]","Difficulty level, Advanced, [1]","Effect, Restoring a disfigured wizard to their true and whole physical form","Known ingredients, Bone, of the father, [1], Flesh, of a servant, [1], Blood, of an enemy, [1]",,,,,https://harrypotter.fandom.com/wiki/Regeneration_potion,https://static.wikia.nocookie.net/harrypotter/images/8/85/Rebirth_of_Voldemort_GIF.gif
Regerminating Potion,regerminating-potion,"Characteristics, Green, [1], or golden, [2], in colour","Difficulty level, Advanced, [2]","Effect, Germinated plants, [1], [2]",,"Inventor(s), Tilden Toots, [1], [2]",,,,https://harrypotter.fandom.com/wiki/Regerminating_Potion,https://static.wikia.nocookie.net/harrypotter/images/f/f1/Regerminating_Potion_HM_Icon.png
Replenishing Potion,replenishing-potion,,,"Effect, Replenishes something",,,"Manufacturer, Hogwarts Apothecary Dept.",,,https://harrypotter.fandom.com/wiki/Replenishing_Potion,https://static.wikia.nocookie.net/harrypotter/images/5/56/ReplenishingPotion.jpg
Restoration Potion,restoration-potion,"Characteristics, Purple-coloured, [1]",,"Effect, Reverted, spell, effects on objects or, creatures, [1]",,,,,,https://harrypotter.fandom.com/wiki/Restoration_Potion,https://static.wikia.nocookie.net/harrypotter/images/f/f1/Restoration_Potion.jpg
Revive Potion,revive-potion,"Characteristics, Red, [, citation needed, ]",,"Effect, Awakened victim, [1]",,,,,,https://harrypotter.fandom.com/wiki/Revive_Potion,https://static.wikia.nocookie.net/harrypotter/images/8/85/RevivePotion.png
Rudimentary body potion,rudimentary-body-potion,,,"Effect, Helped restore, non-corporeal, wizards to rudimentary bodies/sustained rudimentary bodies, [1]","Known ingredients, Nagini's venom, [1], Unicorn blood, [1]",,,,,https://harrypotter.fandom.com/wiki/Rudimentary_body_potion,https://static.wikia.nocookie.net/harrypotter/images/b/b9/Voldemort%27s_rudimentary_body_%28concept_artwork_for_HP4_movie%29.jpg
Scintillation Solution,scintillation-solution,"Characteristics, Turquoise in colour, [2], Sparkling upon completion, [1]","Difficulty level, Advanced, [1]","Effect, Could make objects shine, [1]","Known ingredients, Powdered unicorn horn, [3], Runespoor eggs, [3], Oil, [3]",,,,"Brewing time, Two hours and fifty minutes, [2]",https://harrypotter.fandom.com/wiki/Scintillation_Solution,https://static.wikia.nocookie.net/harrypotter/images/d/dd/Scintillation_Solution_HM_Icon.png
Screaming Potion,screaming-potion,,,"Effect, Induced screaming, [1]","Known ingredients, Spine of Lionfish, [1]","Inventor(s), William Weasley, (possibly), [1], Jacob's sibling, (possibly), [1]",,,,https://harrypotter.fandom.com/wiki/Screaming_Potion,
Screaming Snakes Hair Potion,screaming-snakes-hair-potion,,,"Effect, Hair turned into screaming, snakes, (presumed)",,,,,,https://harrypotter.fandom.com/wiki/Screaming_Snakes_Hair_Potion,https://static.wikia.nocookie.net/harrypotter/images/5/56/ReplenishingPotion.jpg
Shrinking Solution,shrinking-solution,"Characteristics, Acid green in colour, [1]","Difficulty level, Moderate, [1], [3]","Effect, Causes living beings to shrink to a smaller form, [1], [2]","Known ingredients, Minced, daisy, roots, [1], Peeled, Shrivelfig, [1], Sliced, caterpillars, [1], One, rat spleen, [2], A dash of, leech juice, [2], A splash of, cowbane, [2], Wormwood, [2]","Inventor(s), Zygmunt Budge, [2]",,"Side-effects, Poisonous, if brewed incorrectly, [1]",,https://harrypotter.fandom.com/wiki/Shrinking_Solution,https://static.wikia.nocookie.net/harrypotter/images/9/95/Shrinking-solution-part-2.png
Skele-Gro,skele-gro,"Characteristics, Smoked when poured, [1], Vile taste, [1], Burned on the way down, [1], Yellow in colour, [2]","Difficulty level, Moderate, [3], [4]","Effect, Restored, bones, [1]","Known ingredients, 1, Chinese Chomping Cabbage, [3], 3, puffer-fish, [3], 5, scarab beetles, [3], 1, Fanged Geranium, [2], 1 arm, bone, [2], 1 red, spider, [2]","Inventor(s), Linfred of Stinchcombe, (original version), [5]","Manufacturer, Rubens Winikus and Company Inc., [6]",,,https://harrypotter.fandom.com/wiki/Skele-Gro,https://static.wikia.nocookie.net/harrypotter/images/6/6e/Skele-gro.png
Sleekeazy's Hair Potion,sleekeazy's-hair-potion,,,"Effect, Makes hair more manageable","Known ingredients, Gomas Barbadensis, [1], Asian Dragon Hair, [1], Petroleum Jelly, [1]","Inventor(s), Fleamont Potter, [2]",,"Side-effects, Unique results for redheads, [1]",,https://harrypotter.fandom.com/wiki/Sleekeazy's_Hair_Potion,https://static.wikia.nocookie.net/harrypotter/images/c/c6/SleekeasysHairPotion2.jpg
Sleeping Draught,sleeping-draught,"Characteristics, Dark purple, [1], [3], [4]","Difficulty level, Beginner, [3], to Advanced, [5]","Effect, Make the drinker quickly fall into a deep but temporary sleep, [1], [2]","Known ingredients, 4 sprigs of, Lavender, [1], 6 measures of, Standard Ingredient, [1], 2 blobs of, Flobberworm Mucus, [1], 4, Valerian, sprigs, [1], Book of Potions, recipe:, Wormwood, [6], Powdered Asphodel petals, [6], Flobberworm Mucus, [6], Sopophorous bean, [6], Valerian sprigs, [6], Nettle essence, [6]",,,,,https://harrypotter.fandom.com/wiki/Sleeping_Draught,https://static.wikia.nocookie.net/harrypotter/images/2/23/Sleeping_Draught_HM_icon.png
Snuffling Potion,snuffling-potion,"Characteristics, Clear smoke upon completion, [1]",,"Effect, Enhances the drinker sense of smell, [1]",,,,,,https://harrypotter.fandom.com/wiki/Snuffling_Potion,https://static.wikia.nocookie.net/harrypotter/images/a/a0/Snuffling_Potion.jpg
Solution 078,solution-078,"Characteristics, Muddy-brown colour, [1]",,,,,,,,https://harrypotter.fandom.com/wiki/Solution_078,https://static.wikia.nocookie.net/harrypotter/images/5/5e/Solution_078.jpg
Solution 125,solution-125,"Characteristics, Muddy-brown colour, [1]",,,,,,,,https://harrypotter.fandom.com/wiki/Solution_125,https://static.wikia.nocookie.net/harrypotter/images/e/e6/Solution_125.jpg
Stamina Potion,stamina-potion,,,"Effect, Boosted stamina, [1]","Known ingredients, Spine of Lionfish, [1]","Inventor(s), William Weasley, (possibly), [1], Jacob's sibling, (possibly), [1]",,,,https://harrypotter.fandom.com/wiki/Stamina_Potion,
Star Grass Salve,star-grass-salve,"Characteristics, Greenish substance, [1]",,"Effect, Healing, ; soothing injuries, [1]","Known ingredients, Star Grass, [1]",,,,,https://harrypotter.fandom.com/wiki/Star_Grass_Salve,https://static.wikia.nocookie.net/harrypotter/images/7/78/Star_Grass_Salve.JPG
Strength Potion,strength-potion,"Characteristics, Orange in colour, [1], [2]","Difficulty level, Beginner, [1]","Effect, Superhuman strength, [1], [2]","Known ingredients, Fanged Geranium, [1], [2], Arm, bone, [1], [2], Snake fang, [1], [2]",,,,,https://harrypotter.fandom.com/wiki/Strength_Potion,https://static.wikia.nocookie.net/harrypotter/images/2/2a/Strength_Potion_LEGOY2.gif
Strengthening Solution,strengthening-solution,"Characteristics, Turquoise in colour, [2], [3]","Difficulty level, Beginner, [3], to advanced, [1]","Effect, Superhuman strength, [1]","Known ingredients, Salamander blood, [1], Powdered, Griffin claw, [1]",,,,"Brewing time, Two days, [4]",https://harrypotter.fandom.com/wiki/Strengthening_Solution,https://static.wikia.nocookie.net/harrypotter/images/0/04/HM_y2_Strengthening_Solution.png
Strong Exstimulo Potion,strong-exstimulo-potion,"Characteristics, Electric blue in colour, [1]","Difficulty level, Beginner, [1]","Effect, Strongly boosted the, spell, -casting power of the drinker for four spell casts, [1]","Known ingredients, Bitter root, [1], Snowdrop, [1], Abraxan hair, [1], Re'em blood, [1]",,,,"Brewing time, Four hours, [1]",https://harrypotter.fandom.com/wiki/Strong_Exstimulo_Potion,https://static.wikia.nocookie.net/harrypotter/images/a/a7/Strong_Exstimulo_Potion_WU.png
